Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,salary,company_text,job_state,age
Junior Data Scientist,"$90,000 /yr (est.)",3.2,"Club Quarters
3.2","Stamford, CT",501 to 1000 Employees,-1,Company - Private,Hotels & Resorts,Hotels & Travel Accommodation,Hotels & Travel Accommodation,90000.0,Club Quarter, CT,-1
Jr Data Scientist,"$89,745 /yr (est.)",3.9,"Veracity Software
3.9","Iselin, NJ",51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,Information Technology,89745.0,Veracity Softwar, NJ,13
Data Scientist,"$100,000 /yr (est.)",4.2,"FAST GROWING TREES LLC
4.2",Remote,51 to 200 Employees,2005,Company - Private,Home Furniture & Housewares Stores,Retail & Wholesale,Retail & Wholesale,100000.0,FAST GROWING TREES LL,Remote,18
Data Scientist III,"$171,067 /yr (est.)",3.9,"Uber Freight
3.9","San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,Information Technology,171067.0,Uber Freigh, CA,14
DATA SCIENTIST I,"$89,700 /yr (est.)",3.3,"UNFI
3.3","Providence, RI",10000+ Employees,1978,Company - Public,Wholesale,Retail & Wholesale,Retail & Wholesale,89700.0,UNF, RI,45
Data Scientist,"$63,000 /yr (est.)",4.9,"Locke Solutions
4.9","Houston, TX",51 to 200 Employees,2013,Company - Private,Machinery Manufacturing,Manufacturing,Manufacturing,63000.0,Locke Solution, TX,10
Associate Data Scientist,"$93,000 /yr (est.)",3.8,"Mutual of Omaha
3.8",Remote,5001 to 10000 Employees,1909,Company - Private,Insurance Carriers,Insurance,Insurance,93000.0,Mutual of Omah,Remote,114
Data Scientist I,"$105,000 /yr (est.)",3.1,"Burlington Stores
3.1","Edgewater Park, NJ",10000+ Employees,1972,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,Retail & Wholesale,105000.0,Burlington Store, NJ,51
"Data Scientist, NLP","$150,954 /yr (est.)",3.6,"Fetch
3.6","Madison, WI",501 to 1000 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,Information Technology,150954.0,Fetc, WI,10
"Data Scientist, Level 1","$77,500 /yr (est.)",-1.0,Massachusetts Materials Technologies (MMT),"Natick, MA",-1,-1,-1,-1,-1,-1,77500.0,Massachusetts Materials Technologies (MMT), MA,-1
Sports Data Scientist,"$140,000 /yr (est.)",5.0,"Swish Analytics
5.0",Remote,1 to 50 Employees,2014,Company - Private,Gambling,"Arts, Entertainment & Recreation","Arts, Entertainment & Recreation",140000.0,Swish Analytic,Remote,9
Associate Data Scientist,"$87,200 /yr (est.)",3.9,"Northwell Health
3.9","Manhasset, NY",10000+ Employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Healthcare,87200.0,Northwell Healt, NY,26
Data Scientist,"$110,000 /yr (est.)",4.2,"Zartico, Inc.",Remote,51 to 200 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Information Technology,110000.0,"Zartico,",Remote,4
Data Scientist,"$117,500 /yr (est.)",3.0,"Goodwin Transportation Group
3.0","Jersey City, NJ",1 to 50 Employees,-1,Company - Private,-1,-1,-1,117500.0,Goodwin Transportation Grou, NJ,-1
Data Scientist,$62.50 /hr (est.),4.9,"Sunixa Solutions
4.9",Remote,51 to 200 Employees,2015,Company - Public,Information Technology Support Services,Information Technology,Information Technology,62.5,Sunixa Solution,Remote,8
Data Scientist,"$100,650 /yr (est.)",3.9,"Occam Solutions
3.9","Tampa, FL",1 to 50 Employees,-1,Company - Private,Business Consulting,Management & Consulting,Management & Consulting,100650.0,Occam Solution, FL,-1
